Twitter,State,Chamber of Congress,Name,Party,screen_name
@RepRichardNeal,Massachusetts 1st District,U.S. Representative,"Neal, Richard E.",D,RepRichardNeal
@RepMcGovern,Massachusetts 2nd District,U.S. Representative,"McGovern, James",D,RepMcGovern
@RepLoriTrahan,Massachusetts 3rd District,U.S. Representative,"Trahan, Lori",D,RepLoriTrahan
@RepJoeKennedy,Massachusetts 4th District,U.S. Representative,"Kennedy III, Joseph P.",D,RepJoeKennedy
@RepKClark,Massachusetts 5th District,U.S. Representative,"Clark, Katherine",D,RepKClark
@teammoulton,Massachusetts 6th District,U.S. Representative,"Moulton, Seth",D,teammoulton
@RepPressley,Massachusetts 7th District,U.S. Representative,"Pressley, Ayanna",D,RepPressley
@RepStephenLynch,Massachusetts 8th District,U.S. Representative,"Lynch, Stephen F.",D,RepStephenLynch
@USRepKeating,Massachusetts 9th District,U.S. Representative,"Keating, William",D,USRepKeating
@SenStabenow,Michigan,U.S. Senator,"Stabenow, Debbie",D,SenStabenow
@SenGaryPeters,Michigan,U.S. Senator,"Peters, Gary",D,SenGaryPeters
@JackBergman_MI1,Michigan 1st District,U.S. Representative,"Bergman, Jack",R,JackBergman_MI1
@RepHuizenga,Michigan 2nd District,U.S. Representative,"Huizenga, Bill",R,RepHuizenga
@justinamash,Michigan 3rd District,U.S. Representative,"Amash, Justin",L,justinamash
@RepMoolenaar,Michigan 4th District,U.S. Representative,"Moolenaar, John",R,RepMoolenaar
@RepDanKildee,Michigan 5th District,U.S. Representative,"Kildee, Daniel",D,RepDanKildee
@RepFredUpton,Michigan 6th District,U.S. Representative,"Upton, Fred",R,RepFredUpton
@RepWalberg,Michigan 7th District,U.S. Representative,"Walberg, Tim",R,RepWalberg
@RepSlotkin,Michigan 8th District,U.S. Representative,"Slotkin, Elissa",D,RepSlotkin
@RepAndyLevin,Michigan 9th District,U.S. Representative,"Levin, Andy",D,RepAndyLevin
@PaulMitchell4us,Michigan 10th District,U.S. Representative,"Mitchell, Paul",R,PaulMitchell4us
@RepHaleyStevens,Michigan 11th District,U.S. Representative,"Stevens, Haley",D,RepHaleyStevens
@RepDebDingell,Michigan 12th District,U.S. Representative,"Dingell, Debbie",D,RepDebDingell
@RepRashida,Michigan 13th District,U.S. Representative,"Tlaib, Rashida",D,RepRashida
@RepLawrence,Michigan 14th District,U.S. Representative,"Lawrence, Brenda",D,RepLawrence
@amyklobuchar,Minnesota,U.S. Senator,"Klobuchar, Amy",D,amyklobuchar
@SenTinaSmith,Minnesota,U.S. Senator,"Smith, Tina",D,SenTinaSmith
@RepHagedorn,Minnesota 1st District,U.S. Representative,"Hagedorn, Jim",R,RepHagedorn
@RepAngieCraig,Minnesota 2nd District,U.S. Representative,"Craig, Angie",D,RepAngieCraig
@RepDeanPhillips,Minnesota 3rd District,U.S. Representative,"Phillips, Dean",D,RepDeanPhillips
@BettyMcCollum04,Minnesota 4th District,U.S. Representative,"McCollum, Betty",D,BettyMcCollum04
@IlhanMN,Minnesota 5th District,U.S. Representative,"Omar, Ilhan",D,IlhanMN
@RepTomEmmer,Minnesota 6th District,U.S. Representative,"Emmer, Tom",R,RepTomEmmer
@collinpeterson,Minnesota 7th District,U.S. Representative,"Peterson, Collin C.",D,collinpeterson
@RepPeteStauber,Minnesota 8th District,U.S. Representative,"Stauber, Pete",R,RepPeteStauber
@SenatorWicker,Mississippi,U.S. Senator,"Wicker, Roger",R,SenatorWicker
@SenHydeSmith,Mississippi,U.S. Senator,"Hyde-Smith, Cindy",R,SenHydeSmith
@RepTrentKelly,Mississippi 1st District,U.S. Representative,"Kelly, Trent",R,RepTrentKelly
@BennieGThompson,Mississippi 2nd District,U.S. Representative,"Thompson, Bennie G.",D,BennieGThompson
@RepMichaelGuest,Mississippi 3rd District,U.S. Representative,"Guest, Michael",R,RepMichaelGuest
@CongPalazzo,Mississippi 4th District,U.S. Representative,"Palazzo, Steven",R,CongPalazzo
@HawleyMO,Missouri,U.S. Senator,"Hawley, Josh",R,HawleyMO
@RoyBlunt,Missouri,U.S. Senator,"Blunt, Roy",R,RoyBlunt
@LacyClayMO1,Missouri 1st District,U.S. Representative,"Clay Jr., William “Lacy”",D,LacyClayMO1
@RepAnnWagner,Missouri 2nd District,U.S. Representative,"Wagner, Ann",R,RepAnnWagner
@RepBlaine,Missouri 3rd District,U.S. Representative,"Luetkemeyer, Blaine",R,RepBlaine
@RepHartzler,Missouri 4th District,U.S. Representative,"Hartzler, Vicky",R,RepHartzler
@repcleaver,Missouri 5th District,U.S. Representative,"Cleaver, Emanuel",D,repcleaver
@RepSamGraves,Missouri 6th District,U.S. Representative,"Graves, Sam",R,RepSamGraves
@USRepLong,Missouri 7th District,U.S. Representative,"Long, Billy",R,USRepLong
@RepJasonSmith,Missouri 8th District,U.S. Representative,"Smith, Jason",R,RepJasonSmith
@SenatorTester,Montana,U.S. Senator,"Tester, Jon",D,SenatorTester
@SteveDaines,Montana,U.S. Senator,"Daines, Steve",R,SteveDaines
@GregForMontana,Montana At-Large,U.S. Representative,"Gianforte, Greg",R,GregForMontana
@SenSasse,Nebraska,U.S. Senator,"Sasse, Ben",R,SenSasse
@SenatorFischer,Nebraska,U.S. Senator,"Fischer, Deb",R,SenatorFischer
@JeffFortenberry,Nebraska 1st District,U.S. Representative,"Fortenberry, Jeff",R,JeffFortenberry
@RepDonBacon,Nebraska 2nd District,U.S. Representative,"Bacon, Don",R,RepDonBacon
@RepAdrianSmith,Nebraska 3rd District,U.S. Representative,"Smith, Adrian",R,RepAdrianSmith
@SenJackyRosen,Nevada,U.S. Senator,"Rosen, Jacky",D,SenJackyRosen
@CatherineForNV,Nevada,U.S. Senator,"Cortez Mastro, Catherine",D,CatherineForNV
@repdinatitus,Nevada 1st District,U.S. Representative,"Titus, Dina",D,repdinatitus
@MarkAmodeiNV2,Nevada 2nd District,U.S. Representative,"Amodei, Mark",R,MarkAmodeiNV2
@RepSusieLee,Nevada 3rd District,U.S. Representative,"Lee, Susie",D,RepSusieLee
@RepHorsford,Nevada 4th District,U.S. Representative,"Horsford, Steven",D,RepHorsford
@SenatorShaheen,New Hampshire,U.S. Senator,"Shaheen, Jeanne",D,SenatorShaheen
